"Method","Tests"
"faulty_programs.BITCOUNT.bitcount(int)","faulty_programs.BITCOUNT_TEST.test_0 [],faulty_programs.BITCOUNT_TEST.test_1 [],faulty_programs.BITCOUNT_TEST.test_2 [],faulty_programs.BITCOUNT_TEST.test_3 [],faulty_programs.BITCOUNT_TEST.test_4 [],faulty_programs.BITCOUNT_TEST.test_5 [],faulty_programs.BITCOUNT_TEST.test_6 [],faulty_programs.BITCOUNT_TEST.test_7 [],faulty_programs.BITCOUNT_TEST.test_8 []"
"faulty_programs.BREADTH_FIRST_SEARCH.breadth_first_search(Node,Node)","faulty_programs.BREADTH_FIRST_SEARCH_TEST.test1 [],faulty_programs.BREADTH_FIRST_SEARCH_TEST.test2 [],faulty_programs.BREADTH_FIRST_SEARCH_TEST.test3 [],faulty_programs.BREADTH_FIRST_SEARCH_TEST.test4 [],faulty_programs.BREADTH_FIRST_SEARCH_TEST.test5 []"
"faulty_programs.BUCKETSORT.bucketsort(ArrayList<Integer>,int)","faulty_programs.BUCKETSORT_TEST.test_0 [],faulty_programs.BUCKETSORT_TEST.test_1 [],faulty_programs.BUCKETSORT_TEST.test_2 [],faulty_programs.BUCKETSORT_TEST.test_3 [],faulty_programs.BUCKETSORT_TEST.test_4 [],faulty_programs.BUCKETSORT_TEST.test_5 []"
"faulty_programs.DEPTH_FIRST_SEARCH.depth_first_search(Node,Node)","faulty_programs.DEPTH_FIRST_SEARCH_TEST.test1 [],faulty_programs.DEPTH_FIRST_SEARCH_TEST.test2 [],faulty_programs.DEPTH_FIRST_SEARCH_TEST.test3 [],faulty_programs.DEPTH_FIRST_SEARCH_TEST.test4 [],faulty_programs.DEPTH_FIRST_SEARCH_TEST.test5 []"
"faulty_programs.DETECT_CYCLE.detect_cycle(Node)","faulty_programs.DETECT_CYCLE_TEST.test1 [],faulty_programs.DETECT_CYCLE_TEST.test2 [],faulty_programs.DETECT_CYCLE_TEST.test3 [],faulty_programs.DETECT_CYCLE_TEST.test4 [],faulty_programs.DETECT_CYCLE_TEST.test5 []"
"faulty_programs.FIND_FIRST_IN_SORTED.find_first_in_sorted(int[],int)","faulty_programs.FIND_FIRST_IN_SORTED_TEST.test_0 [],faulty_programs.FIND_FIRST_IN_SORTED_TEST.test_1 [],faulty_programs.FIND_FIRST_IN_SORTED_TEST.test_2 [],faulty_programs.FIND_FIRST_IN_SORTED_TEST.test_3 [],faulty_programs.FIND_FIRST_IN_SORTED_TEST.test_4 [],faulty_programs.FIND_FIRST_IN_SORTED_TEST.test_5 [],faulty_programs.FIND_FIRST_IN_SORTED_TEST.test_6 []"
"faulty_programs.FIND_IN_SORTED.binsearch(int[],int,int,int)","faulty_programs.FIND_IN_SORTED_TEST.test_0 [],faulty_programs.FIND_IN_SORTED_TEST.test_1 [],faulty_programs.FIND_IN_SORTED_TEST.test_2 [],faulty_programs.FIND_IN_SORTED_TEST.test_3 [],faulty_programs.FIND_IN_SORTED_TEST.test_4 [],faulty_programs.FIND_IN_SORTED_TEST.test_5 [],faulty_programs.FIND_IN_SORTED_TEST.test_6 []"
"faulty_programs.FIND_IN_SORTED.find_in_sorted(int[],int)","faulty_programs.FIND_IN_SORTED_TEST.test_0 [],faulty_programs.FIND_IN_SORTED_TEST.test_1 [],faulty_programs.FIND_IN_SORTED_TEST.test_2 [],faulty_programs.FIND_IN_SORTED_TEST.test_3 [],faulty_programs.FIND_IN_SORTED_TEST.test_4 [],faulty_programs.FIND_IN_SORTED_TEST.test_5 [],faulty_programs.FIND_IN_SORTED_TEST.test_6 []"
"faulty_programs.FLATTEN.flatten(Object)","faulty_programs.FLATTEN_TEST.test_0 [],faulty_programs.FLATTEN_TEST.test_1 [],faulty_programs.FLATTEN_TEST.test_2 [],faulty_programs.FLATTEN_TEST.test_3 [],faulty_programs.FLATTEN_TEST.test_4 [],faulty_programs.FLATTEN_TEST.test_5 [],faulty_programs.FLATTEN_TEST.test_6 []"
"faulty_programs.GCD.gcd(int,int)","faulty_programs.GCD_TEST.test_0 [],faulty_programs.GCD_TEST.test_1 [],faulty_programs.GCD_TEST.test_2 [],faulty_programs.GCD_TEST.test_3 [],faulty_programs.GCD_TEST.test_4 []"
