Method,Tests
correct_programs.BITCOUNT.bitcount(int),"correct_programs.BITCOUNT_TEST.test_0 [],correct_programs.BITCOUNT_TEST.test_1 [],correct_programs.BITCOUNT_TEST.test_2 [],correct_programs.BITCOUNT_TEST.test_3 [],correct_programs.BITCOUNT_TEST.test_4 [],correct_programs.BITCOUNT_TEST.test_5 [],correct_programs.BITCOUNT_TEST.test_6 [],correct_programs.BITCOUNT_TEST.test_7 [],correct_programs.BITCOUNT_TEST.test_8 []"
"correct_programs.BREADTH_FIRST_SEARCH.breadth_first_search(Node,Node)","correct_programs.BREADTH_FIRST_SEARCH_TEST.test1 [],correct_programs.BREADTH_FIRST_SEARCH_TEST.test2 [],correct_programs.BREADTH_FIRST_SEARCH_TEST.test3 [],correct_programs.BREADTH_FIRST_SEARCH_TEST.test4 [],correct_programs.BREADTH_FIRST_SEARCH_TEST.test5 []"
"correct_programs.BUCKETSORT.bucketsort(ArrayList<Integer>,int)","correct_programs.BUCKETSORT_TEST.test_0 [],correct_programs.BUCKETSORT_TEST.test_1 [],correct_programs.BUCKETSORT_TEST.test_2 [],correct_programs.BUCKETSORT_TEST.test_3 [],correct_programs.BUCKETSORT_TEST.test_4 [],correct_programs.BUCKETSORT_TEST.test_5 []"
"correct_programs.DEPTH_FIRST_SEARCH.depth_first_search(Node,Node)","correct_programs.DEPTH_FIRST_SEARCH_TEST.test1 [],correct_programs.DEPTH_FIRST_SEARCH_TEST.test2 [],correct_programs.DEPTH_FIRST_SEARCH_TEST.test3 [],correct_programs.DEPTH_FIRST_SEARCH_TEST.test4 [],correct_programs.DEPTH_FIRST_SEARCH_TEST.test5 []"
correct_programs.DETECT_CYCLE.detect_cycle(Node),"correct_programs.DETECT_CYCLE_TEST.test1 [],correct_programs.DETECT_CYCLE_TEST.test2 [],correct_programs.DETECT_CYCLE_TEST.test3 [],correct_programs.DETECT_CYCLE_TEST.test4 [],correct_programs.DETECT_CYCLE_TEST.test5 []"
"correct_programs.FIND_FIRST_IN_SORTED.find_first_in_sorted(int[],int)","correct_programs.FIND_FIRST_IN_SORTED_TEST.test_0 [],correct_programs.FIND_FIRST_IN_SORTED_TEST.test_1 [],correct_programs.FIND_FIRST_IN_SORTED_TEST.test_2 [],correct_programs.FIND_FIRST_IN_SORTED_TEST.test_3 [],correct_programs.FIND_FIRST_IN_SORTED_TEST.test_4 [],correct_programs.FIND_FIRST_IN_SORTED_TEST.test_5 [],correct_programs.FIND_FIRST_IN_SORTED_TEST.test_6 []"
"correct_programs.FIND_IN_SORTED.binsearch(int[],int,int,int)","correct_programs.FIND_IN_SORTED_TEST.test_0 [],correct_programs.FIND_IN_SORTED_TEST.test_1 [],correct_programs.FIND_IN_SORTED_TEST.test_2 [],correct_programs.FIND_IN_SORTED_TEST.test_3 [],correct_programs.FIND_IN_SORTED_TEST.test_4 [],correct_programs.FIND_IN_SORTED_TEST.test_5 [],correct_programs.FIND_IN_SORTED_TEST.test_6 []"
"correct_programs.FIND_IN_SORTED.find_in_sorted(int[],int)","correct_programs.FIND_IN_SORTED_TEST.test_0 [],correct_programs.FIND_IN_SORTED_TEST.test_1 [],correct_programs.FIND_IN_SORTED_TEST.test_2 [],correct_programs.FIND_IN_SORTED_TEST.test_3 [],correct_programs.FIND_IN_SORTED_TEST.test_4 [],correct_programs.FIND_IN_SORTED_TEST.test_5 [],correct_programs.FIND_IN_SORTED_TEST.test_6 []"
correct_programs.FLATTEN.flatten(Object),"correct_programs.FLATTEN_TEST.test_0 [],correct_programs.FLATTEN_TEST.test_1 [],correct_programs.FLATTEN_TEST.test_2 [],correct_programs.FLATTEN_TEST.test_3 [],correct_programs.FLATTEN_TEST.test_4 [],correct_programs.FLATTEN_TEST.test_5 [],correct_programs.FLATTEN_TEST.test_6 []"
"correct_programs.GCD.gcd(int,int)","correct_programs.GCD_TEST.test_0 [],correct_programs.GCD_TEST.test_1 [],correct_programs.GCD_TEST.test_2 [],correct_programs.GCD_TEST.test_3 [],correct_programs.GCD_TEST.test_4 []"
